start
5 = MKS-20211004-Space_Time_Pronouns_1-M
4 = MKS-20211004-Space_Time_Pronouns_1-M
Pitch object already exists
Pitch object ID is 6
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ēn	start: 26.950442944768533	end: 27.12453240029695
step #12/15	fMin: 157.52367930525855	fMax: 158.38918076989734	fMean: 157.84210578290026	stdev: 0.3299075592025907
step #13/15	fMin: 156.26113539383897	fMax: 157.52367930525855	fMean: 156.868862789354	stdev: 0.46377676145653735
step #14/15	fMin: 156.2485820239246	fMax: 375.11654113763325	fMean: 261.81625386150097	stdev: --undefined--
step #15/15	fMin: 335.4645360280077	fMax: 391.6496105165612	fMean: 364.9534165342228	stdev: 26.19053890609378
interval #20	label: ù	start: 45.977726498833064	end: 46.13735840081453
step #1/15	fMin: 149.89382987942588	fMax: 151.01816122284723	fMean: 150.25415442844732	stdev: --undefined--
step #2/15	fMin: 151.01816122284723	fMax: 154.85983073850014	fMean: 152.9745746195413	stdev: 1.4365020485990017
step #3/15	fMin: 154.15291994841473	fMax: 155.28363575034948	fMean: 154.77847080154066	stdev: 0.503407764229406
step #4/15	fMin: 152.16895779406124	fMax: 154.15291994841473	fMean: 153.58308180073388	stdev: 0.8739343997815372
step #5/15	fMin: 144.78187218139456	fMax: 152.16895779406124	fMean: 148.77038400419758	stdev: 3.378940897301849
step #6/15	fMin: 138.67424370002954	fMax: 144.78187218139456	fMean: 140.191899319476	stdev: 2.6009849021510427
