start
2 = MKS-20211020-Plants_and_Animals_4-M
1 = MKS-20211020-Plants_and_Animals_4-M
Pitch object already exists
Pitch object ID is 3
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
interval #2	label: ìín	start: 44.4978102051447	end: 44.87760138891721
step #6/18	fMin: 174.93719950578992	fMax: 180.34882544406236	fMean: 177.6257686891129	stdev: 2.2316208956891663
step #7/18	fMin: 171.47272089802945	fMax: 174.93719950578992	fMean: 173.08699647878885	stdev: 1.2879496897224323
step #8/18	fMin: 168.85762617289166	fMax: 171.47272089803946	fMean: 170.06881747980046	stdev: 0.9859619111653196
step #9/18	fMin: 167.59231599580008	fMax: 168.85762617289166	fMean: 168.16611013039372	stdev: 0.4780839623168784
step #10/18	fMin: 167.17785547993785	fMax: 167.59231599580008	fMean: 167.3854679514936	stdev: 0.19462229098860714
step #11/18	fMin: 167.0183292537672	fMax: 167.87412978804102	fMean: 167.5695648963501	stdev: 0.34034253746809084
step #12/18	fMin: 166.60128201784678	fMax: 167.0183292537672	fMean: 166.72189997208244	stdev: --undefined--
step #13/18	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/18	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/18	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #16/18	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #17/18	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #18/18	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #20	label: à	start: 83.69693746644037	end: 83.81379629221652
step #1/11	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #2/11	fMin: 143.13652168526036	fMax: 144.0255399714109	fMean: 143.6945445067905	stdev: 0.44425404741654106
step #3/11	fMin: 136.68371485339833	fMax: 143.13652168526232	fMean: 138.39275356716652	stdev: 3.0125213877673063
step #4/11	fMin: 135.99477830042926	fMax: 136.68371485339833	fMean: 136.26629970708944	stdev: 0.29528321560853876
step #5/11	fMin: 136.42974616777968	fMax: 138.5514570153749	fMean: 137.504580654972	stdev: 1.0818177766350372
step #6/11	fMin: 138.55145701537435	fMax: 138.57282232411123	fMean: 138.5703996512959	stdev: --undefined--
step #7/11	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #8/11	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #9/11	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #10/11	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #11/11	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #22	label: āà	start: 84.2195561039393	end: 84.37861395013462
step #1/15	fMin: 200.82315869572068	fMax: 204.95905647396177	fMean: 203.4922564227265	stdev: 2.20806081310933
step #2/15	fMin: 196.52726953502724	fMax: 200.82315869572068	fMean: 198.34830064421215	stdev: 1.5270841104258805
step #3/15	fMin: 191.01488852781867	fMax: 196.86798862449606	fMean: 195.08646977982153	stdev: 2.4307307062167105
step #4/15	fMin: 180.6412323866689	fMax: 191.01488852781867	fMean: 185.32996314767337	stdev: 4.176536779815803
step #5/15	fMin: 170.98222502253623	fMax: 180.6412323866689	fMean: 175.69277599164383	stdev: 3.9268266147632844
step #6/15	fMin: 162.38852641248792	fMax: 170.98222502254674	fMean: 167.11181613421158	stdev: 3.3353036382758345
step #7/15	fMin: 158.95996076741227	fMax: 162.38852641248792	fMean: 160.30563338429062	stdev: 1.3609650521099
step #8/15	fMin: 157.15786585339433	fMax: 158.9599607674132	fMean: 157.88967037361786	stdev: 0.8016746177467701
