start
11 = MKS-20211011-Space_Time_Pronouns_2-M
12 = MKS-20211011-Space_Time_Pronouns_2-M
Pitch object already exists
Pitch object ID is 13
2 tiers
Tier number 1 is named word
Tier number 2 is named vowel
The vowel tier has number 2
step #19/23	fMin: 135.25171432192516	fMax: 136.57280863064813	fMean: 136.2055636043034	stdev: 0.5416580158935085
step #20/23	fMin: 136.2471422154071	fMax: 136.35935367559944	fMean: 136.32557797969093	stdev: --undefined--
step #21/23	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #22/23	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #23/23	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #24	label: í	start: 288.0370699883546	end: 288.1998199969059
step #1/16	fMin: 211.21920268879458	fMax: 213.4650135100404	fMean: 213.16267441274465	stdev: 1.0240137272717782
step #2/16	fMin: 213.21398366767153	fMax: 215.79926493396064	fMean: 214.44702757326223	stdev: 1.2016219973826312
step #3/16	fMin: 215.79926493396064	fMax: 217.6809843661059	fMean: 216.79144353413795	stdev: 0.8019343652515756
step #4/16	fMin: 217.6809843661059	fMax: 219.69066748767116	fMean: 218.54745633062507	stdev: 0.9047194821872561
step #5/16	fMin: 219.69066748767835	fMax: 222.82568625456128	fMean: 221.11007379820208	stdev: 1.3362417731051182
step #6/16	fMin: 222.82568625456128	fMax: 225.57239121702617	fMean: 224.24916237298302	stdev: 1.0400810952269173
step #7/16	fMin: 225.57239121702617	fMax: 230.06275428053706	fMean: 228.2106070538037	stdev: 1.822062852391626
step #8/16	fMin: 230.06275428053706	fMax: 233.1417309079553	fMean: 231.58665574301452	stdev: 1.187127556537485
step #9/16	fMin: 233.1417309079553	fMax: 236.6225680939406	fMean: 235.2639378074049	stdev: 1.5622507354060542
step #10/16	fMin: 236.6225680939406	fMax: 238.89785836679664	fMean: 237.69309928225795	stdev: 1.049537643040766
step #11/16	fMin: 238.89785836680278	fMax: 243.0697300626954	fMean: 241.64772397459802	stdev: 2.0927389570731774
step #12/16	fMin: 242.53224960939818	fMax: 244.5380835999608	fMean: 243.6707268830854	stdev: --undefined--
step #13/16	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #14/16	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #15/16	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
step #16/16	fMin: --undefined--	fMax: --undefined--	fMean: --undefined--	stdev: --undefined--
interval #26	label: én	start: 289.7010288446678	end: 289.802483395453
step #1/10	fMin: 258.7924658375748	fMax: 277.247745434782	fMean: 268.85633790252024	stdev: 9.188110397228849
step #2/10	fMin: 260.9668248369826	fMax: 262.72955426708614	fMean: 261.7485934239003	stdev: 0.6289546459290312
step #3/10	fMin: 262.72955426708614	fMax: 265.30460108738833	fMean: 264.37013140997817	stdev: 1.0967350889505336
